event_count,trial,seed,query_type,sample_position,query_key,row_count,row_sha256,full_indexes_connect_plus_first_query_ms,no_service_index_connect_plus_first_query_ms,no_correlation_index_connect_plus_first_query_ms,no_lookup_indexes_connect_plus_first_query_ms
10000,4,9541,service,8,svc-0123,54,04abc045ebad0a17a9164f01a9af15ae2cac0c0b2773b6fdbe3017a032b6beae,0.172875,0.835917,0.148917,0.877458
10000,4,9541,service,9,svc-0085,48,1ea0e71b237f449f9c667d2dc679c5f129f61a281e52e3f5dfad4a0a17bb5870,0.141375,0.831708,0.141625,0.829583
10000,4,9541,service,10,svc-0047,48,bfc444520fda7ddd156e5aeeb64ee9d5bc664964728a9b21606d9aa527b7a834,0.150292,0.988416,0.153542,0.86125
10000,4,9541,service,11,svc-0038,48,c0dc94bc768fb60161073ea8b2bc2e088b7541a7981a782c1b0d90b699e9af03,0.194041,0.83875,0.155375,0.934208
10000,4,9541,service,12,svc-0171,54,c14502aec0bc79317c2bddcdd255d4c0f964a4cf91993630a4b37678611d5f41,0.146958,0.839208,0.143125,0.857375
10000,4,9541,service,13,svc-0025,54,5a7610e30e431cb9701f61564c3e574b527f6fa46da8ec58f7cc3986a522a648,0.164917,0.835291,0.147458,0.897916
10000,4,9541,service,14,svc-0064,54,ad4cf535392e2a6703c224b5cff4049358ca3be192d8bcea66f5e4ad5632c98b,0.1475,0.878708,0.267667,0.872042
10000,4,9541,service,15,svc-0077,48,8f3f977acfb75474bd2e44f83d515a8775c74c3fffe541242b8da65e36e1944c,0.139583,0.834208,0.142375,0.846792
10000,4,9541,service,16,svc-0177,48,701968f6157cc62f5f2f42fc4b05401ddeac9ed37bc9d68c4759dafaf59f6e59,0.14025,0.82775,0.140792,0.840791
10000,4,9541,service,17,svc-0143,48,f19ad96168c3b9d2bfd3a18ed7206c96dd2dba747d0dd23bd51c7a94808224e7,0.163875,0.95225,0.18475,0.898167
10000,4,9541,service,18,svc-0104,48,c7dc788c4eaf6c334291f0c7a6ce13ed87ad2c05f9508195c1374e74dc987262,0.137958,0.859417,0.135292,0.851875
10000,4,9541,service,19,svc-0190,54,6fbb77e1f8cac390d4c5c4f58024e4ce9cd82b02953bd062fee00c1d2b4f450c,0.147834,0.858625,0.159167,0.828834
10000,4,9541,correlation,0,corr-9541-00000315,6,12d4b8bfd8adcbddf7ff7247d44d0f7555d6c14be78abeb1a2881c74faafe5ed,0.106166,0.098166,0.991875,0.916417
10000,4,9541,correlation,1,corr-9541-00000573,6,d17350cda936f4d2db7c80d0314e68ba5b6ee18352a6557efe4435762207b0bd,0.103084,0.098959,0.859208,0.840625
10000,4,9541,correlation,2,corr-9541-00001179,6,b07865533ebd2a31d0058803dad5d32a6ac5edd1bef023780b94dfbe852e1456,0.097917,0.096166,0.844417,0.814458
10000,4,9541,correlation,3,corr-9541-00000635,6,cd95e0757da38f31777eaf2ff58a747104cc3bb85954559c0385d565c827b77d,0.09725,0.096917,0.846583,0.886542
10000,4,9541,correlation,4,corr-9541-00001437,6,1f050db92df66bf707774c3db302664cb10a829336b4c01ff549afc525527dae,0.106084,0.110875,0.937333,0.899292
10000,4,9541,correlation,5,corr-9541-00001597,6,275a38594903d31d50f6eedc4ee2b9f598d25f81851d107cb809089fb2394ec7,0.101209,0.098875,0.83375,0.830417
10000,4,9541,correlation,6,corr-9541-00000576,6,659ed54f54b4968a89255e2c270f7f1c3e2564468d5cfa54918c9ecfb304527f,0.097917,0.093917,0.826334,0.821334
10000,4,9541,correlation,7,corr-9541-00001645,6,7f78ceb7a715d23c95a14fafb91462752d30a612e16279b38151b7bbe4ed9f98,0.103083,0.107875,1.043042,1.025375
